ID,access_dir
1734,S
1738,S
1867,S
1868,S
1869,S
1870,S
1871,S
1872,S
1873,S
1874,S
1875,S
1876,S
1877,S
1878,S
1879,S
1880,S
1881,S
1882,S
1883,S
1884,S
1885,S
1886,N
1887,N
1888,N
1889,N
1890,N
1891,S
1892,S
1893,S
1894,S
1895,S
1896,S
1897,S
1898,S
1899,S
1900,N
1901,N
1902,N
1903,N
1904,N
1905,N
1906,S
1907,S
1908,S
1909,S
1910,S
1911,S
1912,S
1913,S
1914,S
1915,N
1916,N
1917,N
1919,N
1920,S
1921,S
1922,S
1924,S
1925,S
1926,S
1927,N
1928,N
1929,N
1930,N
1931,N
1932,N
1935,S
1940,S
1941,S
1942,S
1943,S
1944,N
1945,N
1946,N
1947,N
1948,N
1949,N
1950,N
1951,N
1952,N
1953,N
1954,N
1955,N
1956,N
1957,N
1958,N
1959,N
1960,N
1961,N
1962,N
1963,N
1964,N
1965,N
1966,N
1967,N
1968,N
1969,N
1970,N
1971,N
1972,N
1973,N
1974,N
1975,N
1976,N
1977,N
1978,N
1979,N
1980,N
1981,N
1982,N
1983,N
1984,N
1985,N
1986,N
1987,N
1988,N
1989,N
1990,N
1991,N
1992,N
1993,N
1994,N
1995,N
1996,N
1997,N
1998,N
1999,N
2000,N
2001,N
2002,N
2003,N
2004,N
2005,N
2006,N
2007,N
2008,N
2009,N
2011,N
2012,N
2013,N
2014,N
2015,N
2016,N
2017,N
2018,N
2019,W
2020,W
2021,W
2022,W
2023,W
2024,S
2025,S
2026,N
2027,N
2028,N
2029,N
2030,N
2031,N
2032,N
2033,N
2034,N
2035,N
2036,N
2037,S
2038,S
2039,S
2040,S
2043,S
2044,S
2047,S
2048,S
2049,S
2050,S
2051,S
2052,S
2053,S
2054,S
2055,S
2056,S
2057,S
2058,S
2059,S
2060,S
2062,S
2063,S
2064,S
2065,S
2066,S
2067,S
2068,S
2069,S
2070,S
2071,S
2072,S
2073,S
2074,S
2075,S
2076,S
2077,S
2078,S
2079,S
2080,S
2081,S
2082,S
2083,S
2085,S
2086,S
2087,S
2088,S
2089,S
2091,S
2092,S
2093,S
2094,S
2095,S
2096,S
2098,S
2103,S
2104,S
2105,S
2106,S
2107,S
2108,S
2109,S
2110,S
2111,S
2112,S
2113,S
2114,S
2115,S
2116,S
2117,S
2118,S
2119,S
2120,S
2121,S
2122,S
2123,S
2124,S
2126,S
2127,S
2128,S
2130,S
2133,S
2134,S
2135,S
2139,S
2140,S
2149,S
2150,S
2250,S
2252,S
2253,S
2255,S