intersection,from,movement,volume,x,y
TCB1200,n,l,82,5,72.5
TCB1200,n,t,50,2.5,74
TCB1200,e,l,60,15,69.8
TCB1200,e,r,83,15,71.8
TCB1200,s,t,83,10.2,59.8
TCB1200,s,r,55,12.5,61
TCBTCD,n,l,92,6.5,22.5
TCBTCD,n,t,22,4,24
TCBTCD,e,l,224,16.5,19.8
TCBTCD,e,r,148,16.5,21.8
TCBTCD,s,t,22,11.7,9.8
TCBTCD,s,r,191,14,11
UA1200,n,l,48,87.55,75.5
UA1200,n,t,1608,85.3,77.5
UA1200,n,r,63,83.05,75.5
UA1200,e,l,60,99.1,76
UA1200,e,t,25,100,74.25
UA1200,e,r,29,99.1,72.5
UA1200,s,l,54,93.3,63.8
UA1200,s,t,988,95.8,62
UA1200,s,r,43,98.3,63.8
UA1200,w,l,32,82.3,67
UA1200,w,t,17,81.3,65
UA1200,w,r,92,82.3,63
UATCD,n,l,57,87.25,16.5
UATCD,n,t,1692,85,18.5
UATCD,n,r,57,82.75,16.5
UATCD,e,l,252,98.8,17
UATCD,e,t,83,100,15.25
UATCD,e,r,140,98.8,13.5
UATCD,s,l,242,93,4.8
UATCD,s,t,907,95.5,3
UATCD,s,r,102,98,4.8
UATCD,w,l,48,82,8
UATCD,w,t,57,81,6
UATCD,w,r,171,82,4